;id;Landkreis;Einwohner_pro_qkm;Bevölkerung;anteil_bevölkerung_0_bis_44;arbeitslosenqoute;pkw_bestand_je_tsd_einwohner;bip_je_erwerbstätigen;krankenhausbetten_je_tsd_einwohner
0;1001;Flensburg, Stadt;1701;90164;0.541;0.08;489.6;62665.0;9.8
1;1002;Kiel, Landeshauptstadt;2080;246794;0.5569999999999999;0.076;445.0;67116.0;10.1
2;1003;Lübeck, Hansestadt;1011;216530;0.485;0.073;453.4;68377.0;9.1
3;1004;Neumünster, Stadt;1119;80196;0.4899999999999999;0.079;527.8;62247.0;8.7
4;1051;Dithmarschen;93;133193;0.44099999999999995;0.055;605.7;72256.0;4.9
5;1053;Herzogtum Lauenburg;157;198019;0.46399999999999997;0.047;587.8;63538.0;3.1
6;1054;Nordfriesland;80;165951;0.44799999999999995;0.048;614.9;64108.0;4.0
7;1055;Ostholstein;144;200539;0.402;0.05;620.1;57164.0;8.4
8;1056;Pinneberg;476;316103;0.473;0.045;556.2;69697.0;2.8
9;1057;Plön;119;128686;0.4169999999999999;0.04;615.5;61887.0;2.2
10;1058;Rendsburg-Eckernförde;125;274098;0.447;0.039;626.2;67782.0;3.5
11;1059;Schleswig-Flensburg;97;201156;0.451;0.043;628.6;63038.0;3.6
12;1060;Segeberg;206;277175;0.475;0.04;597.9;69666.0;6.1
13;1061;Steinburg;124;131013;0.44799999999999995;0.051;612.2;74751.0;4.6
14;1062;Stormarn;319;244156;0.45799999999999985;0.031;617.0;70641.0;4.5
15;2000;Hamburg, Freie und Hansestadt;2446;1847253;0.5549999999999999;0.061;431.6;69023.04488778055;6.9
16;3101;Braunschweig, Stadt;1294;249406;0.524;0.049;582.9;72974.0;7.8
17;3102;Salzgitter, Stadt;465;104291;0.492;0.088;523.6;98476.0;4.3
18;3103;Wolfsburg, Stadt;608;124371;0.5049999999999999;0.045;1110.4;163592.0;4.4
19;3151;Gifhorn;113;176523;0.482;0.04;600.0;66299.0;2.4
20;3153;Goslar;141;136292;0.42100000000000004;0.059;580.7;65669.0;7.5
21;3154;Helmstedt;135;91297;0.451;0.0579999999999999;601.8;59932.0;9.2
22;3155;Northeim;104;132285;0.427;0.051;652.7;63495.0;3.5
23;3157;Peine;251;134801;0.47199999999999986;0.044;616.5;62453.0;2.2
24;3158;Wolfenbüttel;165;119622;0.44199999999999995;0.044;615.0;66016.0;2.5
25;3159;Göttingen;186;326041;0.485;0.053;554.2;66000.0;10.4
26;3241;Region Hannover;504;1157115;0.504;0.064;499.8;75896.0;6.1
27;3251;Diepholz;109;217089;0.45799999999999974;0.039;636.8;67051.0;2.3
28;3252;Hameln-Pyrmont;186;148549;0.437;0.061;611.5;70851.0;7.6
29;3254;Hildesheim;228;275817;0.4619999999999999;0.057;575.0;61556.0;6.3
30;3255;Holzminden;101;70458;0.42799999999999994;0.063;626.0;73707.0;2.9
31;3256;Nienburg (Weser);87;121390;0.46099999999999985;0.048;627.0;66413.0;2.9
32;3257;Schaumburg;234;157820;0.43899999999999995;0.053;631.0;62163.0;3.4
33;3351;Celle;115;179011;0.46699999999999986;0.057;603.2;64342.0;3.9
34;3352;Cuxhaven;96;198038;0.434;0.052;625.0;61835.0;3.3
35;3353;Harburg;204;254431;0.46299999999999997;0.037;645.8;63842.0;3.0
36;3354;Lüchow-Dannenberg;39;48412;0.405;0.073;626.3;59673.0;2.4
37;3355;Lüneburg;139;184139;0.497;0.053;562.3;60326.0;4.9
38;3356;Osterholz;175;113928;0.445;0.033;627.9;58559.0;2.1
39;3357;Rotenburg (Wümme);79;163782;0.475;0.036;675.3;66626.0;6.2
40;3358;Heidekreis;75;140673;0.47099999999999986;0.053;619.6;63605.0;3.5
41;3359;Stade;161;204512;0.4859999999999999;0.05;605.0;69986.0;4.6
42;3360;Uelzen;63;92389;0.42799999999999994;0.05;604.1;61363.0;8.7
43;3361;Verden;174;137133;0.47;0.04;624.7;66774.0;1.9
44;3401;Delmenhorst, Stadt;1242;77559;0.492;0.094;539.7;52841.0;4.1
45;3402;Emden, Stadt;444;49913;0.504;0.0819999999999999;485.3;82938.0;8.3
46;3403;Oldenburg (Oldenburg), Stadt;1640;169077;0.5369999999999999;0.061;522.0;65550.0;10.3
47;3404;Osnabrück, Stadt;1379;165251;0.556;0.066;508.1;64517.0;12.9
48;3405;Wilhelmshaven, Stadt;711;76089;0.46399999999999986;0.103;523.0;68374.0;7.8
49;3451;Ammerland;171;124859;0.46199999999999997;0.036;633.4;62412.0;7.0
50;3452;Aurich;147;189694;0.45499999999999985;0.063;605.7;59654.0;3.7
51;3453;Cloppenburg;120;170682;0.5459999999999999;0.039;580.6;62743.0;2.9
52;3454;Emsland;113;326954;0.5099999999999999;0.024;604.2;72013.0;5.5
53;3455;Friesland;162;98704;0.42800000000000005;0.043;657.2;63506.0;5.2
54;3456;Grafschaft Bentheim;140;137162;0.489;0.025;605.1;60200.0;4.4
55;3457;Leer;157;170756;0.482;0.052;595.9;65206.0;4.2
56;3458;Oldenburg;123;130890;0.46399999999999997;0.031;630.9;60366.0;1.8
57;3459;Osnabrück;169;358080;0.484;0.0289999999999999;633.7;63752.0;4.6
58;3460;Vechta;175;142814;0.5489999999999999;0.034;605.3;65372.0;6.2
59;3461;Wesermarsch;107;88583;0.44699999999999995;0.0579999999999999;595.9;80808.0;2.4
60;3462;Wittmund;87;56926;0.43999999999999995;0.054;623.6;58084.0;2.9
61;4011;Bremen, Stadt;1786;567559;0.519;0.095;425.9;79759.0;7.1
62;4012;Bremerhaven, Stadt;1119;113643;0.503;0.122;440.3;60322.0;8.9
63;5111;Düsseldorf, Stadt;2860;621877;0.536;0.066;501.6;91568.0;8.2
64;5112;Duisburg, Stadt;2142;498686;0.5109999999999999;0.108;460.5;77215.0;9.3
65;5113;Essen, Stadt;2771;582760;0.505;0.102;493.7;74404.0;9.7
66;5114;Krefeld, Stadt;1651;227417;0.483;0.1009999999999999;521.4;74066.0;9.2
67;5116;Mönchengladbach, Stadt;1531;261034;0.4959999999999999;0.09;525.3;65135.0;8.1
68;5117;Mülheim an der Ruhr, Stadt;1869;170632;0.465;0.071;544.3;73178.0;5.4
69;5119;Oberhausen, Stadt;2734;210764;0.482;0.098;522.9;60008.0;6.9
70;5120;Remscheid, Stadt;1494;111338;0.47699999999999987;0.07;552.7;65376.0;9.2
71;5122;Solingen, Klingenstadt;1778;159245;0.484;0.071;581.0;68595.0;6.6
72;5124;Wuppertal, Stadt;2109;355100;0.51;0.081;484.5;74314.0;5.9
73;5154;Kleve;253;312465;0.482;0.052;612.5;62800.0;5.4
