Meldedatum;Monat;Wochentag;Jahr
2020-03-01;3;6;2020
2020-03-02;3;0;2020
2020-03-03;3;1;2020
2020-03-04;3;2;2020
2020-03-05;3;3;2020
2020-03-06;3;4;2020
2020-03-07;3;5;2020
2020-03-08;3;6;2020
2020-03-09;3;0;2020
2020-03-10;3;1;2020
2020-03-11;3;2;2020
2020-03-12;3;3;2020
2020-03-13;3;4;2020
2020-03-14;3;5;2020
2020-03-15;3;6;2020
2020-03-16;3;0;2020
2020-03-17;3;1;2020
2020-03-18;3;2;2020
2020-03-19;3;3;2020
2020-03-20;3;4;2020
2020-03-21;3;5;2020
2020-03-22;3;6;2020
2020-03-23;3;0;2020
2020-03-24;3;1;2020
2020-03-25;3;2;2020
2020-03-26;3;3;2020
2020-03-27;3;4;2020
2020-03-28;3;5;2020
2020-03-29;3;6;2020
2020-03-30;3;0;2020
2020-03-31;3;1;2020
2020-04-01;4;2;2020
2020-04-02;4;3;2020
2020-04-03;4;4;2020
2020-04-04;4;5;2020
2020-04-05;4;6;2020
2020-04-06;4;0;2020
2020-04-07;4;1;2020
2020-04-08;4;2;2020
2020-04-09;4;3;2020
2020-04-10;4;4;2020
2020-04-11;4;5;2020
2020-04-12;4;6;2020
2020-04-13;4;0;2020
2020-04-14;4;1;2020
2020-04-15;4;2;2020
2020-04-16;4;3;2020
2020-04-17;4;4;2020
2020-04-18;4;5;2020
2020-04-19;4;6;2020
2020-04-20;4;0;2020
2020-04-21;4;1;2020
2020-04-22;4;2;2020
2020-04-23;4;3;2020
2020-04-24;4;4;2020
2020-04-25;4;5;2020
2020-04-26;4;6;2020
2020-04-27;4;0;2020
2020-04-28;4;1;2020
2020-04-29;4;2;2020
2020-04-30;4;3;2020
2020-05-01;5;4;2020
2020-05-02;5;5;2020
2020-05-03;5;6;2020
2020-05-04;5;0;2020
2020-05-05;5;1;2020
2020-05-06;5;2;2020
2020-05-07;5;3;2020
2020-05-08;5;4;2020
2020-05-09;5;5;2020
2020-05-10;5;6;2020
2020-05-11;5;0;2020
2020-05-12;5;1;2020
2020-05-13;5;2;2020
2020-05-14;5;3;2020
2020-05-15;5;4;2020
2020-05-16;5;5;2020
2020-05-17;5;6;2020
2020-05-18;5;0;2020
2020-05-19;5;1;2020
2020-05-20;5;2;2020
